keyword,weekly_saves,saves_4w_avg,board_count,boards_4w_avg
baggy suit men,5800,3100,410,220
men polo shirt,5100,5050,380,375
men vintage brooch,4900,2400,350,170
men low profile sneakers,4800,4100,345,295
liquid tailoring trousers,4600,2800,330,200
men kurta casual,4500,3900,320,275
men quarter zip sweater,4400,3800,325,280
men double breasted suit,4300,2900,315,210
oversized linen shirt,4200,3270,310,240
men co-ord set,4100,2600,295,180
chunky knit polo,3900,2200,285,160
polished boho shirt,3800,2100,280,155
printed resort shirt,3800,2600,280,185
men oversized bermudas,3700,1900,270,140
chunky gold chain men,3600,2000,265,145
black core sneakers,3500,3400,260,250
striped liquid chinos,3500,2200,255,160
men gemstone signet ring,3400,1800,250,130
men hockey jersey,3300,2100,245,155
men jogger pants,3200,2700,240,195
men leather weekender bag,3200,2700,235,200
cargo pants men,3100,2950,220,210
dark wash selvedge denim,3100,3000,230,225
men lace detailed shirt,3100,1200,225,85
men waffle tee,2900,1800,210,130
men chelsea boots suede,2900,2800,215,205
chunky belt men,2900,1600,210,120
relaxed fit jeans men,2800,2750,195,190
men high collar jacket,2800,1700,205,125
men micro shorts,2700,1300,200,95
men terry shorts,2600,1800,190,130
men preppy cardigan,2600,2400,190,175
men sheer overlay top,2600,1100,190,80
colorful camo hoodie,2500,2200,185,165
men crossbody pouch,2500,2000,185,150
men silk pyjama set,2400,1500,175,110
men techwear runners,2300,2200,170,160
men track pants,2200,2250,160,165
men lug sole boots,2200,2100,165,155
men denim jacket,2100,2150,155,160
men khaki safari jacket,2100,1600,155,120
brocade trousers men,2050,1100,150,75
lace bandana men,2000,950,145,65
afrobohemian resort shirt,1950,1050,142,70
chino trousers men,1900,1950,140,145
men graphic flannel,1900,1850,140,135
3/4 sleeve raglan tee,1800,1400,135,105
men minimalist wallet,1800,1750,135,130
men ballet sneakers,1750,900,130,60
retro tech accessories,1700,850,125,55
adire fabric shirt,1650,980,120,68
gelato pastel shirt,1600,1020,118,72
transformative teal sweater,1550,1100,115,80
men bomber jacket,1500,1550,110,115
men linen sarong,1480,750,108,45
off white styling scarf,1450,820,105,50
vintage band tee men,1400,1700,105,125
abstract graphic shirt,1350,1200,102,90
sage green jumpsuit,1300,1050,98,85
men jazz derbies,1250,950,95,65
leather flip flops men,1200,1150,92,88
dark brown tailored coat,1150,1080,88,82
red four pocket jacket,1100,980,85,75
skin tight pants men,1050,1100,82,85
aperol orange tee,1000,850,78,65
men leather biker jacket,950,1000,75,80
double denim set,900,920,72,75
lightweight seersucker shirt,880,900,70,72
neon graphic tee,800,1200,55,85
cotton poplin shirt,850,880,68,70
nylon ultralight jacket,820,850,65,68
men ribbed henley,780,800,62,65
stripped oxford shirt,750,780,60,62
rugby shirt men,720,750,58,60
men tungsten ring,680,700,55,58
vintage clothing men,3500,3600,250,260
men puffer jacket,2800,2900,200,210
men onyx bracelet,650,500,52,35
men tiger eye necklace,620,450,50,32
crystal clip-ons men,600,350,48,25
heirloom jewelry men,580,400,45,28
gold cuff men,550,380,42,26
mesh knit sweater,520,300,40,20
minimalist white sneakers,3200,3100,235,230
men streetwear,2500,2600,185,195
korean fashion style male,2400,2500,180,185
60s men fashion,1800,1900,135,140
formal clothes for men,2900,3000,215,225
sweatpants men,2700,2800,200,210
tracksuits men,1500,1600,110,120
flannel jacket men,1400,1500,105,115
armani jeans men,1100,1200,80,90
baggy jeans men,3400,3300,255,245